Date,Price,Adj Close,Close,High,Low,Open,Volume,MACD,MACD_Signal,MACD_Hist,K,D,J,RSI
2020-01-06,2020-01-02 00:00:00+00:00,72.87611389160156,75.0875015258789,75.1500015258789,73.79750061035156,74.05999755859375,135480400.0,,,,,,,
2020-01-07,2020-01-03 00:00:00+00:00,72.1676025390625,74.35749816894531,75.1449966430664,74.125,74.2874984741211,146322800.0,,,,,,,
2020-01-08,2020-01-06 00:00:00+00:00,72.74266052246094,74.94999694824219,74.98999786376953,73.1875,73.44750213623047,118387200.0,,,,,,,
2020-01-09,2020-01-07 00:00:00+00:00,72.40054321289062,74.59750366210938,75.2249984741211,74.37000274658203,74.95999908447266,108872000.0,,,,,,,
2020-01-10,2020-01-08 00:00:00+00:00,73.5652084350586,75.79750061035156,76.11000061035156,74.29000091552734,74.29000091552734,132079200.0,,,,,,,
2020-01-13,2020-01-09 00:00:00+00:00,75.12777709960938,77.40750122070312,77.60749816894531,76.55000305175781,76.80999755859375,170108400.0,,,,,,,
2020-01-14,2020-01-10 00:00:00+00:00,75.29762268066406,77.5824966430664,78.1675033569336,77.0625,77.6500015258789,140644800.0,,,,,,,
2020-01-15,2020-01-13 00:00:00+00:00,76.90631103515625,79.23999786376953,79.26750183105469,77.7874984741211,77.91000366210938,121532000.0,,,,,,,
2020-01-16,2020-01-14 00:00:00+00:00,75.86782836914062,78.16999816894531,79.39250183105469,78.0425033569336,79.17500305175781,161954400.0,,,,,,,
2020-01-17,2020-01-15 00:00:00+00:00,75.54268646240234,77.83499908447266,78.875,77.38749694824219,77.9625015258789,121923600.0,,,,,,,
2020-01-20,2020-01-16 00:00:00+00:00,76.48898315429688,78.80999755859375,78.92500305175781,78.02249908447266,78.39749908447266,108829200.0,,,,,,,
2020-01-21,2020-01-17 00:00:00+00:00,77.33577728271484,79.68250274658203,79.68499755859375,78.75,79.06749725341797,137816400.0,,,,,,,
2020-01-22,2020-01-21 00:00:00+00:00,76.81168365478516,79.14250183105469,79.75499725341797,79.0,79.29750061035156,110843200.0,,,,,,,
2020-01-23,2020-01-22 00:00:00+00:00,77.08587646484375,79.42500305175781,79.99749755859375,79.32749938964844,79.6449966430664,101832400.0,,,,,,,
2020-01-24,2020-01-23 00:00:00+00:00,77.45709991455078,79.80750274658203,79.88999938964844,78.9124984741211,79.4800033569336,104472000.0,,,,,,,72.50897654644126
2020-01-27,2020-01-24 00:00:00+00:00,77.2338638305664,79.57749938964844,80.8324966430664,79.37999725341797,80.0625,146537600.0,,,,90.79581798336153,,,69.89028912264459
2020-01-28,2020-01-27 00:00:00+00:00,74.96280670166016,77.23750305175781,77.94249725341797,76.22000122070312,77.51499938964844,161940000.0,,,,75.28192631003354,,,50.07571531316946
2020-01-29,2020-01-28 00:00:00+00:00,77.08344268798828,79.42250061035156,79.5999984741211,78.04750061035156,78.1500015258789,162234000.0,,,,69.02812342361554,78.36862257233686,50.3471251261729,61.15126405148226
2020-01-30,2020-01-29 00:00:00+00:00,78.69699096679688,81.08499908447266,81.9625015258789,80.34500122070312,81.11250305175781,216229200.0,,,,69.40648564923838,71.23884512762915,65.74176669245682,67.1269572117988
2020-01-31,2020-01-30 00:00:00+00:00,78.58294677734375,80.96749877929688,81.02249908447266,79.6875,80.13500213623047,126743200.0,,,,81.94693799640002,73.46051568975132,98.91978260969742,66.3501456161603
2020-02-03,2020-01-31 00:00:00+00:00,75.09867095947266,77.37750244140625,80.66999816894531,77.07250213623047,80.23249816894531,199588400.0,,,,62.51630283391415,71.28990882651753,44.969090848707395,48.05313442272861
2020-02-04,2020-02-03 00:00:00+00:00,74.8924331665039,77.16500091552734,78.37249755859375,75.55500030517578,76.07499694824219,173788400.0,,,,42.65218683792631,62.37180922274683,3.2129420682852583,47.223007222795815
2020-02-05,2020-02-04 00:00:00+00:00,77.36489868164062,79.7125015258789,79.91000366210938,78.40750122070312,78.82749938964844,136616400.0,,,,36.72282093744675,47.29710353642907,15.574255739482098,56.84728184800123
2020-02-06,2020-02-05 00:00:00+00:00,77.99576568603516,80.36250305175781,81.19000244140625,79.73750305175781,80.87999725341797,118826800.0,,,,55.013669205233356,44.79622566020214,75.44855629529579,58.90640474668327
2020-02-07,2020-02-06 00:00:00+00:00,78.90807342529297,81.30249786376953,81.30500030517578,80.06500244140625,80.64250183105469,105425600.0,,,,76.5379046584842,56.09146493372143,117.43078410800972,61.74898563580852
2020-02-10,2020-02-07 00:00:00+00:00,77.83548736572266,80.00749969482422,80.8499984741211,79.5,80.59249877929688,117684000.0,1.1248386158948733,,,78.07255474429378,69.87470953600378,94.4682451608738,56.001633954912776
2020-02-11,2020-02-10 00:00:00+00:00,78.20518493652344,80.38749694824219,80.38749694824219,78.4625015258789,78.54499816894531,109348800.0,1.1173593402967015,,,78.20257889163543,77.6043460981378,79.39904447863069,57.25876625608167
2020-02-12,2020-02-11 00:00:00+00:00,77.73336029052734,79.90249633789062,80.9749984741211,79.67749786376953,80.9000015258789,94323200.0,1.0600765618336538,,,70.91944059452311,75.7315247434841,61.29527229660113,55.09503455686912
2020-02-13,2020-02-12 00:00:00+00:00,79.57935333251953,81.80000305175781,81.80500030517578,80.36750030517578,80.36750030517578,113730400.0,1.154484304465015,,,80.24446603575585,76.45549517397147,87.82240775932459,61.2626470760589
2020-02-14,2020-02-13 00:00:00+00:00,79.01266479492188,81.21749877929688,81.55500030517578,80.8375015258789,81.04750061035156,94747600.0,1.1688263910087642,,,84.56233141710446,78.57541268246115,96.53616888639107,58.60171658645865
2020-02-17,2020-02-14 00:00:00+00:00,79.03211212158203,81.23750305175781,81.49500274658203,80.7125015258789,81.18499755859375,80113600.0,1.168338892046961,,,91.50735136525356,85.43804960603796,103.64595488368474,58.668110971948416
2020-02-18,2020-02-18 00:00:00+00:00,77.58500671386719,79.75,79.9375,78.65249633789062,78.83999633789062,152531200.0,1.0359813329817058,,,80.84275174913437,85.63747817716414,71.2532988930748,51.99088573361701
2020-02-19,2020-02-19 00:00:00+00:00,78.70863342285156,80.90499877929688,81.14250183105469,80.0,80.0,93984000.0,1.0126129903761125,,,79.91842369773279,84.08950893737357,71.57625321845123,56.162885052430774
2020-02-20,2020-02-20 00:00:00+00:00,77.90117645263672,80.07499694824219,81.1624984741211,79.55249786376953,80.65750122070312,100566000.0,0.9165537383887283,1.0843413519213907,-0.16778761353266236,74.46335226827343,78.40817590504686,66.57370499472657,52.62384619818597
2020-02-21,2020-02-21 00:00:00+00:00,76.13786315917969,78.26249694824219,80.11250305175781,77.625,79.65499877929688,129554000.0,0.6862616892431959,1.0047254193857518,-0.3184637301425559,67.0799560546875,73.82057734023124,53.59871348360002,45.83199269655152
2020-02-24,2020-02-24 00:00:00+00:00,72.52129364013672,74.54499816894531,76.04499816894531,72.30750274658203,74.31500244140625,222195200.0,0.20146019040470264,0.844072373589542,-0.6426121831848394,46.399560569049584,62.647622964003496,13.903435779141759,35.66476422421867
2020-02-25,2020-02-25 00:00:00+00:00,70.06483459472656,72.0199966430664,75.63249969482422,71.53250122070312,75.23750305175781,230673600.0,-0.38209050950074186,0.5988397969714853,-0.9809303064722271,23.874790497716518,45.78476904048453,-19.9451665878195,30.68552596250974
2020-02-26,2020-02-26 00:00:00+00:00,71.17632293701172,73.1624984741211,74.47000122070312,71.625,71.63249969482422,198054800.0,-0.7437942962997823,0.3303129783172318,-1.0741072746170142,14.724002523825314,28.33278453019714,-12.493561488918338,35.10065887375381
2020-02-27,2020-02-27 00:00:00+00:00,66.52365112304688,68.37999725341797,71.5,68.23999786376953,70.2750015258789,320605600.0,-1.4002142346594013,-0.015792464278094817,-1.3844217703813064,7.215093859614751,15.271295627052195,-8.897309675260136,27.270146376425338
2020-02-28,2020-02-28 00:00:00+00:00,66.48475646972656,68.33999633789062,69.60250091552734,64.09249877929688,64.31500244140625,426510000.0,-1.9017374590041953,-0.39298146322331495,-1.5087559957808803,13.626623199325847,11.85523986092197,17.1693898761336,27.215458620745387
2020-03-02,2020-03-02 00:00:00+00:00,72.67452239990234,74.70249938964844,75.36000061035156,69.43000030517578,70.56999969482422,341397200.0,-1.7654464373790688,-0.6674744580544658,-1.097971979324603,28.30449507795781,16.38207071229947,52.14934380927449,45.825275470462294
2020-03-03,2020-03-03 00:00:00+00:00,70.36640930175781,72.33000183105469,76.0,71.44999694824219,75.9175033569336,319475600.0,-1.8278057392143978,-0.8995407142864522,-0.9282650249279456,43.46271320844602,28.464610495243225,73.45891863485161,41.55827299595577
2020-03-04,2020-03-04 00:00:00+00:00,73.63034057617188,75.68499755859375,75.8499984741211,73.28250122070312,74.11000061035156,219178400.0,-1.5881980602308232,-1.0372721834753265,-0.5509258767554968,57.597671230668105,43.12162650569064,86.54976068062302,48.81632617872427
2020-03-05,2020-03-05 00:00:00+00:00,71.24199676513672,73.2300033569336,74.88749694824219,72.85250091552734,73.87999725341797,187572800.0,-1.578212116313665,-1.1454601700429943,-0.4327519462706708,55.13288458510777,52.06442300807396,61.26980773917538,44.46466282364831
2020-03-06,2020-03-06 00:00:00+00:00,70.29588317871094,72.25749969482422,72.70500183105469,70.30750274658203,70.5,226176800.0,-1.6299816875290247,-1.2423644735402004,-0.3876172139888243,55.57479901489743,56.10178494355777,54.52082715757676,42.835662592610326
2020-03-09,2020-03-09 00:00:00+00:00,64.73605346679688,66.5425033569336,69.52249908447266,65.75,65.9375,286744800.0,-2.1078637467741714,-1.4154643281869947,-0.6923994185871767,38.23066381743284,49.64611580581268,15.39975984067317,34.77331328776767
2020-03-10,2020-03-10 00:00:00+00:00,69.39842987060547,71.33499908447266,71.61000061035156,67.34249877929688,69.28500366210938,285290000.0,-2.0759441767861944,-1.5475602979068348,-0.5283838788793596,34.87113086817923,42.89219790016983,18.828996804198027,44.24953245098988
2020-03-11,2020-03-11 00:00:00+00:00,66.98818969726562,68.85749816894531,70.30500030517578,67.96499633789062,69.34750366210938,255598800.0,-2.22491388385437,-1.683031015096342,-0.5418828687580282,28.841663319127232,33.98115266824644,18.562684620888817,40.9383939193827
2020-03-12,2020-03-12 00:00:00+00:00,60.37279510498047,62.057498931884766,67.5,62.0,63.98500061035156,418474000.0,-2.8587229794270854,-1.9181694079624907,-0.9405535714645947,24.193896066580567,29.302230084629013,13.97722803048368,33.52360064866739
2020-03-13,2020-03-13 00:00:00+00:00,67.60596466064453,69.49250030517578,69.9800033569336,63.23749923706055,66.22250366210938,370732000.0,-2.7296134948477118,-2.080458225339535,-0.6491552695081766,27.890436101194297,26.975331828967366,29.720644645648157,45.208795681189756
2020-03-16,2020-03-16 00:00:00+00:00,58.90864562988281,60.5525016784668,64.7699966430664,60.0,60.48749923706055,322423600.0,-3.310514917380857,-2.3264695637478,-0.9840453536330571,19.12679520797688,23.737042458583915,9.906300706762806,36.8263894918766
2020-03-17,2020-03-17 00:00:00+00:00,61.498863220214844,63.21500015258789,64.40249633789062,59.599998474121094,61.877498626708984,324056000.0,-3.515517408126442,-2.5642791326235286,-0.9512382755029134,26.337895307867257,24.451708872346146,30.11026817890948,40.37232042009913
2020-03-18,2020-03-18 00:00:00+00:00,59.99337387084961,61.66749954223633,62.5,59.279998779296875,59.942501068115234,300233600.0,-3.759516360868247,-2.8033265782724723,-0.9561897825957746,13.25837878051216,19.574356432118766,0.6264234772989496,39.00204430021746
2020-03-19,2020-03-19 00:00:00+00:00,59.533714294433594,61.19499969482422,63.209999084472656,60.65250015258789,61.84749984741211,271857200.0,-3.9455324357630275,-3.0317677497705837,-0.9137646859924438,15.925118257621591,18.507130782000335,10.761093208864104,38.57157000721411
2020-03-20,2020-03-20 00:00:00+00:00,55.754180908203125,57.310001373291016,62.95750045776367,57.0,61.79499816894531,401693200.0,-4.356222589198737,-3.2966587176562148,-1.059563871542522,9.121416612526836,12.768304550220195,1.8276407371401184,35.13753305846597
2020-03-23,2020-03-23 00:00:00+00:00,54.569725036621094,56.092498779296875,57.125,53.15250015258789,57.02000045776367,336752800.0,-4.725467530708329,-3.582420480266638,-1.143047050441691,8.679301131002743,11.241945333717057,3.5540127255741147,34.11255254752234
2020-03-24,2020-03-24 00:00:00+00:00,60.04446029663086,61.720001220703125,61.92250061035156,58.57500076293945,59.09000015258789,287531200.0,-4.5119929450471545,-3.7683349732227414,-0.7436579718244132,18.000849871609727,11.933855871713101,30.134837871402976,42.46656511127043
2020-03-25,2020-03-25 00:00:00+00:00,59.71369171142578,61.380001068115234,64.5625,61.07500076293945,62.6875,303602000.0,-4.320444573068386,-3.8787568931918703,-0.44168767987651547,31.48332751272279,19.387826171778418,55.674330194611535,42.11909331597694
2020-03-26,2020-03-26 00:00:00+00:00,62.856021881103516,64.61000061035156,64.66999816894531,61.59000015258789,61.630001068115234,252087200.0,-3.8634714455212205,-3.8756998036577404,0.012228358136519901,47.857352476809474,32.44717662038067,78.6777041896671,46.59007056411615
2020-03-27,2020-03-27 00:00:00+00:00,60.25362777709961,61.935001373291016,63.967498779296875,61.76250076293945,63.1875,204216800.0,-3.6748061542965544,-3.8355210737855034,0.160714919488949,50.578782114968966,43.306487368167076,65.12337160857275,43.587229899210556
2020-03-30,2020-03-30 00:00:00+00:00,61.97313690185547,63.70249938964844,63.880001068115234,62.349998474121094,62.685001373291016,167976400.0,-3.3441163418692668,-3.737240127402256,0.39312378553298943,57.05479706386574,51.830310551881404,67.50377008783441,46.06101323846372
2020-03-31,2020-03-31 00:00:00+00:00,61.84666442871094,63.5724983215332,65.62249755859375,63.0,63.900001525878906,197002000.0,-3.0572897496249567,-3.6012500518467965,0.5439603022218398,57.003926234567324,54.879168471134015,61.25344176143393,45.901577925558655
